115,355; 1688900877,681
205,778; 3214807237,814
145,753; 2314334755,688
175,721; 2681244219,967
325,194; 4846419870,677
235,869; 3908193811,998
420,208; 6779350918,047
574,118; 8483342206,922
687,645; 10483765169,599
856,476; 13304650096,171
1065,628; 16389394309,497
1251,108; 20195126683,706
1542,547; 24170063950,623
1838,909; 28817973750,937
2161,510; 33506552221,072
2498,893; 38767240472,320
2814,763; 44065403256,460
3133,052; 49416745449,340
3458,801; 54407470434,704
3810,708; 59942475613,661
4124,475; 65883163007,732
4424,073; 70236972998,673
4770,956; 77265300166,873
5096,623; 82420715126,115
5422,273; 87295945274,615
5747,924; 92533142119,345
6073,573; 97988807081,827
6399,202; 102956830729,733
6724,828; 108059427927,851
7050,461; 113722959518,367
7376,087; 119315972787,191
7694,274; 123226721590,169
8027,295; 129220527433,586
8352,902; 134586459340,324
8678,508; 140175213625,206
9004,104; 145403245173,832
9329,700; 150826263504,834
9655,284; 155689549480,572
9980,869; 160840475677,747
10306,457; 166297083594,040
10632,044; 171938810149,324
10957,613; 176474770807,804
11283,193; 181868850533,257
11608,762; 186666778065,182
11934,341; 192372383905,428
12259,910; 197447407772,437
12585,479; 202656317110,572
12911,043; 207664404534,331
13236,616; 213490013644,635
13562,181; 218765825756,865
13887,742; 223807481937,534
14213,308; 229524956291,328
14538,869; 234814566359,539
14864,431; 240393691686,575
